name,X,Y,raw_u,raw_v,und_u,und_v,raw_fit_pred_X,raw_fit_pred_Y,raw_fit_err_mm,und_fit_pred_X,und_fit_pred_Y,und_fit_err_mm,raw_loo_pred_X,raw_loo_pred_Y,raw_loo_err_mm,und_loo_pred_X,und_loo_pred_Y,und_loo_err_mm
y0_170,170.0,0.0,111.5,214.5,109.71360778808594,206.30335998535156,170.51278686523438,0.33671465516090393,0.613455057144165,170.55450439453125,0.3319389224052429,0.6462650895118713,172.6039276123047,0.8168765306472778,2.7290523052215576,172.83946228027344,0.8342656493186951,2.9594838619232178
y0_200,200.0,0.0,112.0,161.3,110.3804702758789,155.216064453125,199.86477661132812,-0.36622127890586853,0.39038875699043274,200.10601806640625,-0.4445151090621948,0.4569830596446991,199.81332397460938,-0.4743942320346832,0.5098017454147339,200.1251983642578,-0.56753009557724,0.5811755657196045
y0_240,240.0,0.0,111.2,85.4,109.72447204589844,84.73733520507812,240.1729278564453,-0.8236250281333923,0.8415831923484802,240.0109405517578,-0.9236373901367188,0.9237021803855896,240.255126953125,-1.0778979063034058,1.1076794862747192,240.0445098876953,-1.2014431953430176,1.2022674083709717
y0_270,270.0,0.0,110.5,25.8,108.9869155883789,29.35346794128418,270.603515625,-1.1452542543411255,1.294541835784912,270.70269775390625,-1.2126587629318237,1.4015439748764038,273.6384582519531,-2.130483627319336,4.216318130493164,274.4582214355469,-2.1930458545684814,4.968419075012207
x220_y20,220.0,20.0,50.9,125.6,53.13587188720703,122.12681579589844,219.24855041503906,20.144758224487305,0.7652655839920044,219.0695037841797,20.312358856201172,0.9815249443054199,218.2393035888672,19.80805015563965,1.7711286544799805,217.9144744873047,20.148202896118164,2.090784788131714
x220_y-10,220.0,-10.0,133.5,123.6,130.4232177734375,120.02899169921875,220.03616333007812,-8.011829376220703,1.9884995222091675,220.10655212402344,-8.054211616516113,1.948703646659851,220.0845947265625,-7.579084396362305,2.4223930835723877,220.17208862304688,-7.6304144859313965,2.375826120376587
x220_y-40,220.0,-40.0,224.2,124.4,215.90933227539062,121.17476654052734,219.311767578125,-38.42646408081055,1.7174630165100098,219.29542541503906,-38.22636032104492,1.9084609746932983,217.77102661132812,-36.4064826965332,4.228674411773682,217.7648162841797,-35.998085021972656,4.583816051483154
corner_170_-40,170.0,-40.0,233.4,215.2,226.9545440673828,208.94174194335938,170.24952697753906,-41.70808029174805,1.7262102365493774,170.15435791015625,-41.78291702270508,1.7895864248275757,168.52284240722656,-45.26839065551758,5.471556663513184,167.52740478515625,-45.80763244628906,6.312077522277832
